filename,width,height,class,xmin,ymin,xmax,ymax
P00001.jpg,681,549,Knife,192.964,204.205,581.489,367.696
P00001.jpg,681,549,Knife,160.948,208.658,490.632,489.202
P00002.jpg,801,482,Knife,224.931,223.965,695.15,463.01
P00002.jpg,801,482,Knife,194.398,323.381,618.816,471.947
P00003.jpg,1024,640,Knife,844.442,123.847,918.607,315.921
P00004.jpg,649,571,Knife,17.318,144.239,355.424,302.372
P00005.jpg,506,633,Knife,115.731,132.028,209.601,429.824
P00006.jpg,614,759,Knife,0.0,179.416,224.691,445.902
P00007.jpg,675,382,Knife,298.475,202.73,632.116,270.012
P00007.jpg,675,382,Knife,202.414,57.543,482.878,127.481
P00008.jpg,688,427,Knife,278.872,257.783,631.177,350.803
P00008.jpg,688,427,Knife,254.394,115.78,517.53,160.805
P00009.jpg,680,406,Knife,292.91,180.654,638.526,285.094
P00009.jpg,680,406,Knife,269.581,49.397,543.482,113.379
P00010.jpg,685,416,Knife,24.371,88.695,382.103,203.903
P00010.jpg,685,416,Knife,126.207,268.014,422.141,355.745
P00011.jpg,836,570,Knife,60.549,452.433,462.084,529.71
P00011.jpg,836,570,Knife,76.483,418.749,478.018,540.939
P00011.jpg,836,570,Gun,67.985,214.658,159.339,340.151
P00011.jpg,836,570,Gun,70.109,212.677,266.628,305.805
P00012.jpg,692,366,Knife,314.785,226.895,645.398,285.421
P00012.jpg,692,366,Knife,305.992,70.401,590.882,153.525
P00013.jpg,686,362,Knife,80.193,180.79,389.634,316.698
P00013.jpg,686,362,Knife,40.968,33.557,376.559,111.998
P00014.jpg,824,575,Knife,79.573,413.76,483.72,551.68
P00014.jpg,824,575,Knife,81.667,479.056,479.532,549.015
P00014.jpg,824,575,Gun,68.056,291.165,247.095,367.787
P00014.jpg,824,575,Gun,69.103,215.875,163.334,343.134
P00015.jpg,688,360,Knife,310.343,224.844,665.271,304.102
P00015.jpg,688,360,Knife,297.23,70.081,564.737,134.322
P00016.jpg,693,361,Knife,324.926,196.605,686.836,304.11
P00016.jpg,693,361,Knife,293.226,54.38,577.647,128.839
P00017.jpg,836,574,Knife,344.173,392.422,650.104,542.074
P00017.jpg,836,574,Knife,78.607,419.692,476.956,530.767
P00017.jpg,836,574,Gun,173.149,254.076,389.85,381.115
P00017.jpg,836,574,Gun,73.296,177.587,160.402,289.993
P00018.jpg,1536,714,Knife,1323.26,407.054,1536.0,483.998
P00018.jpg,1536,714,Knife,1055.88,440.148,1471.59,532.811
P00018.jpg,1536,714,Gun,1040.26,196.081,1130.04,309.428
P00018.jpg,1536,714,Gun,1010.99,253.995,1264.71,348.313
P00019.jpg,1536,611,Knife,282.999,210.275,665.535,315.766
P00019.jpg,1536,611,Knife,220.544,63.72,536.722,146.555
P00020.jpg,693,396,Knife,324.046,258.8,672.747,341.395
P00020.jpg,693,396,Knife,301.151,83.972,592.616,178.957
P00021.jpg,681,389,Knife,324.492,156.411,670.616,299.751
P00021.jpg,681,389,Knife,289.879,54.09,565.914,96.912
P00022.jpg,696,389,Knife,319.258,227.63,669.469,322.739
P00022.jpg,696,389,Knife,320.142,74.825,615.522,151.904
P00023.jpg,696,448,Knife,56.6,182.73,367.014,322.373
P00023.jpg,696,448,Knife,43.334,46.202,395.314,156.255
P00024.jpg,586,610,Knife,361.131,85.527,515.263,385.933
P00024.jpg,586,610,Knife,165.301,65.736,409.53,271.425
P00025.jpg,476,641,Knife,102.216,378.806,320.559,603.862
P00025.jpg,476,641,Knife,272.173,251.795,381.042,511.017
P00026.jpg,657,340,Knife,131.066,212.352,400.712,262.387
P00026.jpg,657,340,Knife,35.062,177.289,375.667,254.114
P00027.jpg,666,538,Knife,248.798,295.495,526.368,392.123
P00027.jpg,666,538,Knife,256.414,222.556,594.915,312.327
P00028.jpg,684,401,Knife,220.757,97.114,514.521,262.997
P00028.jpg,684,401,Knife,117.332,205.844,460.635,331.301
P00029.jpg,657,403,Knife,92.665,136.824,423.252,199.866
P00029.jpg,657,403,Knife,126.892,253.568,415.738,326.416
P00030.jpg,818,569,Gun,668.328,286.148,755.637,383.729
P00030.jpg,818,569,Knife,346.117,429.222,750.44,511.638
P00030.jpg,818,569,Knife,347.156,429.222,745.243,519.55
P00030.jpg,818,569,Gun,514.498,127.25,714.061,236.039
P00031.jpg,812,580,Gun,657.235,313.187,752.158,434.16
P00031.jpg,812,580,Knife,333.26,220.44,727.395,265.469
P00031.jpg,812,580,Knife,341.515,210.359,737.713,244.635
P00031.jpg,812,580,Gun,505.565,439.537,697.474,520.857
P00032.jpg,817,542,Gun,376.837,64.688,505.564,137.541
P00032.jpg,817,542,Gun,711.112,193.437,761.98,306.484
P00032.jpg,817,542,Knife,324.931,411.367,725.645,465.379
P00032.jpg,817,542,Knife,346.732,404.459,749.522,479.196
P00033.jpg,648,451,Knife,137.504,240.917,438.038,406.057
P00033.jpg,648,451,Knife,79.044,107.132,369.698,337.597
P00034.jpg,820,584,Knife,94.816,443.921,487.624,556.255
P00034.jpg,820,584,Knife,70.851,455.425,469.911,542.721
P00034.jpg,820,584,Gun,209.428,159.703,441.779,310.61
P00034.jpg,820,584,Gun,44.803,225.344,90.648,316.023
P00035.jpg,813,579,Knife,344.001,205.3,735.522,250.922
P00035.jpg,813,579,Knife,331.605,214.693,732.423,267.024
P00035.jpg,813,579,Gun,706.597,330.09,756.183,448.842
P00035.jpg,813,579,Gun,377.058,456.222,544.41,554.176
P00036.jpg,838,622,Gun,291.756,144.148,470.643,223.43
P00036.jpg,838,622,Knife,62.823,456.95,462.125,532.628
P00036.jpg,838,622,Knife,62.823,420.192,464.254,549.205
P00036.jpg,838,622,Gun,93.703,196.762,128.841,276.044
P00037.jpg,837,596,Knife,76.574,451.662,478.59,529.01
P00037.jpg,837,596,Knife,73.384,424.037,472.208,536.607
P00037.jpg,837,596,Gun,191.436,136.742,360.537,196.825
P00037.jpg,837,596,Gun,73.384,207.875,130.814,285.914
P00038.jpg,673,392,Knife,230.034,44.06,570.382,169.428
P00038.jpg,673,392,Knife,262.53,175.333,555.845,244.83
P00039.jpg,807,592,Knife,66.652,443.829,472.715,556.329
P00039.jpg,807,592,Knife,64.601,439.713,460.41,529.576
P00039.jpg,807,592,Gun,154.837,149.543,333.259,216.083
P00039.jpg,807,592,Gun,50.245,237.349,86.135,313.492
P00040.jpg,829,600,Gun,124.297,155.041,310.743,229.432
P00040.jpg,829,600,Knife,92.696,449.826,495.083,571.495
P00040.jpg,829,600,Knife,86.376,450.521,486.656,550.637
P00040.jpg,829,600,Gun,49.508,253.071,95.856,329.548
P00041.jpg,823,562,Knife,349.278,170.619,729.929,236.392
P00041.jpg,823,562,Knife,347.187,163.455,742.478,214.25
P00041.jpg,823,562,Gun,530.192,467.574,711.105,532.695
P00041.jpg,823,562,Gun,730.975,276.116,768.621,389.428
P00042.jpg,847,596,Knife,51.659,458.568,461.706,533.154
P00042.jpg,847,596,Knife,54.888,418.512,467.088,547.657
P00042.jpg,847,596,Gun,150.673,138.123,330.405,212.709
P00042.jpg,847,596,Gun,76.413,212.019,128.072,296.273
P00043.jpg,662,399,Knife,230.48,170.141,531.619,310.693
P00043.jpg,662,399,Knife,211.133,52.244,544.236,97.554
P00044.jpg,696,364,Knife,277.693,171.666,588.107,259.397
P00044.jpg,696,364,Knife,293.611,72.969,621.713,104.181
P00045.jpg,852,614,Knife,70.368,456.765,468.762,540.718
P00045.jpg,852,614,Knife,56.295,426.883,467.68,554.236
P00045.jpg,852,614,Gun,167.802,146.563,334.521,222.691
P00045.jpg,852,614,Gun,74.699,214.864,153.728,298.818
P00046.jpg,680,366,Knife,69.987,149.284,376.722,267.184
P00046.jpg,680,366,Knife,76.9,30.111,415.604,122.565
P00047.jpg,844,594,Knife,34.318,358.603,441.84,496.95
P00047.jpg,844,594,Knife,50.404,392.329,448.274,516.222
P00047.jpg,844,594,Gun,75.07,175.516,289.555,287.02
P00047.jpg,844,594,Gun,73.997,152.802,122.257,280.825
P00048.jpg,687,376,Knife,218.234,209.131,559.551,279.277
P00048.jpg,687,376,Knife,316.003,60.125,607.563,188.218
P00049.jpg,825,607,Knife,29.352,424.83,437.135,505.716
P00049.jpg,825,607,Knife,71.283,448.744,470.68,528.927
P00049.jpg,825,607,Gun,197.078,162.476,380.527,315.809
P00049.jpg,825,607,Gun,299.809,389.662,429.797,448.744
P00050.jpg,835,597,Knife,241.906,199.231,485.934,356.955
P00050.jpg,835,597,Gun,265.248,341.044,509.276,489.083
P00050.jpg,835,597,Gun,101.855,250.422,249.333,400.537
P00050.jpg,835,597,Gun,0.0,416.447,160.21,528.514
P00051.jpg,640,560,Knife,248.03,138.216,535.095,257.613
P00051.jpg,640,560,Knife,269.987,216.083,542.414,451.634
P00052.jpg,685,369,Knife,72.243,127.846,366.436,235.168
P00052.jpg,685,369,Knife,110.54,19.241,454.346,112.025
P00053.jpg,865,600,Knife,213.227,189.803,363.806,411.587
P00053.jpg,865,600,Knife,128.596,420.626,525.375,565.933
P00053.jpg,865,600,Gun,100.019,265.585,213.227,415.759
P00053.jpg,865,600,Gun,56.055,409.502,109.911,539.513
P00054.jpg,672,444,Knife,281.779,123.991,561.85,168.751
P00054.jpg,672,444,Knife,196.391,200.649,521.718,369.4
P00055.jpg,842,568,Knife,62.053,442.29,467.54,494.285
P00055.jpg,842,568,Knife,174.391,180.338,224.676,400.167
P00055.jpg,842,568,Gun,236.445,212.589,331.665,368.575
P00055.jpg,842,568,Gun,85.591,223.119,188.3,368.575
P00055.jpg,842,568,Gun,41.726,367.258,156.203,485.071
P00056.jpg,895,644,Knife,412.814,341.029,736.925,476.844
P00056.jpg,895,644,Knife,511.753,239.541,786.963,320.134
P00057.jpg,864,598,Gun,0.0,370.025,170.165,492.674
P00057.jpg,864,598,Gun,102.099,265.393,227.253,369.333
P00057.jpg,864,598,Knife,94.414,217.581,341.428,469.115
P00057.jpg,864,598,Knife,117.469,391.506,413.886,543.258
P00058.jpg,841,563,Knife,43.813,352.935,306.693,527.772
P00058.jpg,841,563,Knife,87.626,173.532,485.151,272.693
P00058.jpg,841,563,Gun,98.313,225.722,307.761,357.502
P00059.jpg,825,585,Knife,36.69,194.548,435.038,231.153
P00059.jpg,825,585,Knife,33.545,126.761,432.942,215.562
P00059.jpg,825,585,Gun,50.318,414.177,183.45,497.555
P00060.jpg,832,450,Knife,39.116,117.845,315.039,223.696
P00060.jpg,832,450,Knife,86.689,301.912,487.36,335.805
P00060.jpg,832,450,Gun,43.344,112.109,75.06,211.703
P00060.jpg,832,450,Gun,95.146,336.327,188.178,374.392
P00061.jpg,1536,508,Knife,649.921,61.219,1032.46,160.111
P00062.jpg,1536,546,Knife,948.534,246.744,1278.37,284.072
P00063.jpg,1536,562,Knife,1020.75,323.655,1284.23,509.251
P00063.jpg,1536,562,Knife,971.954,175.829,1532.1,323.655
P00064.jpg,835,557,Knife,56.233,165.874,473.202,289.795
P00064.jpg,835,557,Knife,41.379,337.556,309.809,525.374
P00064.jpg,835,557,Gun,76.391,201.372,185.673,354.337
P00065.jpg,870,617,Gun,265.311,286.694,458.767,412.525
P00065.jpg,870,617,Gun,391.334,398.941,554.943,507.613
P00065.jpg,870,617,Knife,124.917,245.942,378.069,471.151
P00065.jpg,870,617,Knife,63.011,266.676,187.929,500.463
P00065.jpg,870,617,Knife,48.64,298.133,484.193,465.431
P00066.jpg,813,561,Knife,660.111,117.01,759.282,479.093
P00067.jpg,872,679,Knife,681.423,119.592,786.684,484.663
P00068.jpg,856,585,Gun,495.98,300.295,670.008,418.244
P00068.jpg,856,585,Gun,410.053,231.831,554.714,323.343
P00068.jpg,856,585,Knife,717.865,206.072,811.405,448.749
P00068.jpg,856,585,Knife,383.949,235.22,810.318,367.404
P00068.jpg,856,585,Knife,561.24,249.455,774.424,467.729
P00069.jpg,874,603,Gun,184.351,238.964,374.254,364.036
P00069.jpg,874,603,Gun,269.863,382.902,432.003,489.806
P00069.jpg,874,603,Knife,57.748,188.656,145.482,414.344
P00069.jpg,874,603,Knife,84.402,161.406,319.837,397.575
P00069.jpg,874,603,Knife,47.753,273.202,480.867,429.017
P00070.jpg,874,621,Knife,659.665,316.616,812.92,554.798
P00070.jpg,874,621,Knife,518.625,335.326,779.604,535.37
P00070.jpg,874,621,Knife,392.023,295.029,798.483,398.649
P00070.jpg,874,621,Gun,481.977,354.754,666.328,471.327
P00070.jpg,874,621,Gun,466.429,292.87,603.027,362.67
P00071.jpg,834,593,Gun,224.661,182.092,351.827,273.481
P00071.jpg,834,593,Gun,160.018,328.452,335.931,445.265
